id_product,product_name,product_link,regular_price,promo_price,brand
"420383,""Пиво Kronenbourg 1664 светлое, 0.46л"",https://online.metro-cc.ru/products/kronenbourg-1664-svetloe-steklo-046-l,129,83.90,KRONENBOURG"
"73846,""Пиво St.Peter's Without Original темное безалкогольное, 0.5л"",https://online.metro-cc.ru/products/stpeters-without-original-bezalkogolnoe-v-steklyannoj-butylke-05-l,329,,ST.PETER'S"
"463788,""Пиво Bitburger Premium светлое, 0.5л"",https://online.metro-cc.ru/products/bitburger-premium-svetloe-48-zh-b-05-l,179,,BITBURGER"
"123744,""Пивной напиток Chester's Груша, 0.45л"",https://online.metro-cc.ru/products/045-l-nap-chesters-grusha-st,109,,CHESTER'S"
"123747,""Пивной напиток Chester's Сладкое Яблоко, 0.45л"",https://online.metro-cc.ru/products/045-l-nap-chesters-yablochnyj-slad-st,109,,CHESTER'S"
"114535,""Пивной напиток Hoegaarden Blanche, 0.44л"",https://online.metro-cc.ru/products/044-l-piv-nap-hugarden-st,89.90,,HOEGAARDEN"
"226994,""Пиво Monchshof Schwarzbier темное, 5л"",https://online.metro-cc.ru/products/5l-pivo-monchshof-schwarzbier-tem-zhb,1999,,MONCHSHOF"
"645621,""Пивной напиток Amsterdam Navigator светлое, 0.45л"",https://online.metro-cc.ru/products/napitok-amsterdam-zheleznaya-banka-045-l,95.90,84.90,AMSTERDAM"
"420382,""Пиво Cernovar светлое, 0.5л"",https://online.metro-cc.ru/products/chernovar-svetloe-zh-b-05-l,179,,CERNOVAR"
"123197,""Пиво Amstel светлое, 0.43л"",https://online.metro-cc.ru/products/043-l-amstel-sv-zh-b,69.90,59.90,AMSTEL"
"136833,""Пиво Жигули Экспорт, 0.45л"",https://online.metro-cc.ru/products/045l-pivo-zhiguli-eksport-but,72.90,,ЖИГУЛИ"
"419979,""Пиво Prazacka светлое, 0.5л"",https://online.metro-cc.ru/products/prazacka-zh-b-05-l,154,139,PRAZACKA"
"213482,""Пиво Holsten Pilsner светлое, 0.45л"",https://online.metro-cc.ru/products/045l-pivo-holsten-pilzner-svetloe-zhb,84.90,62.90,HOLSTEN"
"645622,""Пиво Старый Мельник из Бочонка Мягкое, 0.45л"",https://online.metro-cc.ru/products/staryj-melnik-iz-bochonka-myagkoe-zh-b-045-l-,77.90,59.90,СТАРЫЙ МЕЛЬНИК"
"49889,""Пиво Горьковская пивоварня American Pale Ale, 0.44л"",https://online.metro-cc.ru/products/art-49889,106,,ГОРЬКОВСКАЯ ПИВОВАРНЯ"
"114475,""Пиво Stella Artois светлое, 0.44л"",https://online.metro-cc.ru/products/044-l-pivo-stella-artua-st,115,89.90,STELLA ARTOIS"
"200119,""Пиво Kaiserdom неосветленное нефильтрованное 4.7%, 0.5л"",https://online.metro-cc.ru/products/05l-pivo-kaiserdom-neosv-nefiltrov-47-zhb-200119,159,,KAISERDOM"
"75064,""Пиво Estrella Damm Daura светлое, 0.33л"",https://online.metro-cc.ru/products/art-75064,149,,ESTRELLA"
"601139,""Пиво Maisels Weisse Alkoholfre светлое безалкогольное, 0.5л"",https://online.metro-cc.ru/products/maisel-039s-weisse-bezalkogolnoe-st-b-05-l,199,,MAISELS"
"227463,""Пиво Pabst Blue Ribbon Best Select, 0.44л"",https://online.metro-cc.ru/products/pivo-pabst-blue-ribbon-best-select-044l,76.90,,Пиво"
"60598,""Пиво Liebenweiss пшеничное нефильтрованное, 0.5л"",https://online.metro-cc.ru/products/liebenweiss-pshenichnoe-nefiltrovannoe-zheleznaya-banka-05-l,139,,LIEBENWEISS"
"46855,""Пиво Krusovice черное, 0.45л"",https://online.metro-cc.ru/products/krusovice-chernoe-steklo-045-l,73.90,70.90,KRUSOVICE"
"228088,""Пиво Wychwood Brewery Hobgoblin Gold светлое, 0.5л"",https://online.metro-cc.ru/products/05l-pivo-wychwood-brewery-hobgoblin-gold-sv-zhb,269,,WYCHWOOD BREWERY"
"201412,""Пиво Lev Czech Lion, 0.5л"",https://online.metro-cc.ru/products/05l-pivo-lev-czech-lion-st,159,,LEV CZECH"
"583396,""Пиво Балтика №9 крепкое, 0.45л"",https://online.metro-cc.ru/products/baltika-9-krepkoe-v-zheleznoj-banke-045-l,64.90,57.90,БАЛТИКА"
"31155,""Пиво Velkopopovicky Kozel темное, 0.45л"",https://online.metro-cc.ru/products/napitok-velkopopovicky-kozel-temnoe-st-b-045-l,69.90,67.90,VELKOPOPOVICKY KOZEL"
"32306,""Пиво Velkopopovicky Kozel светлое, 0.45л"",https://online.metro-cc.ru/products/napitok-velkopopovicky-kozel-svetloe-st-b-045-l,69.90,67.90,VELKOPOPOVICKY KOZEL"
"201455,""Пиво Eggenberg Freiber безалкогольное, 0.33л"",https://online.metro-cc.ru/products/033l-pivo-eggenberg-freibier-ba-st,249,173.90,EGGENBERG"
"215214,""Напиток пивной Hoegaarden Grapefruit, 0.45л"",https://online.metro-cc.ru/products/045l-piv-nap-hugarden-greypfrut-zhb,89.90,79.90,HOEGAARDEN"
"137332,""Пиво Балтика Дон южный рецепт, 0.45л"",https://online.metro-cc.ru/products/045l-pivo-don-yuzhnyy-retsept-baltika-zhb-137332,74.90,,БАЛТИКА"
"581885,""Пиво Балтика №7 Экспортное, 0.45л"",https://online.metro-cc.ru/products/baltika-7-eksportnoe-zh-b-045-l,69.90,59.90,БАЛТИКА"
"596852,""Пиво Балтика №7 Экспортное, 0.9л"",https://online.metro-cc.ru/products/baltika-7-v-zheleznoj-banke-05-l,139,119.90,БАЛТИКА"
"75060,""Пиво Жигули Export светлое, 0.45л"",https://online.metro-cc.ru/products/art-75060,68.90,,ЖИГУЛИ"
"640295,""Пиво Warsteiner Premium Beer светлое, 0.5л"",https://online.metro-cc.ru/products/warsteiner-premium-beer-zheleznaya-banka-05-l,189,169,WARSTEINER"
"638268,""Пиво Жигули Барное светлое, 0.45л"",https://online.metro-cc.ru/products/zhiguli-barnoe-moskovskaya-pivovarennaya-kompaniya-zheleznaya-banka-045-l,68.90,58.90,ЖИГУЛИ БАРНОЕ"
"215202,""Напиток пивной Hoegaarden вишня безалкогольный, 0.33л"",https://online.metro-cc.ru/products/033l-piv-nap-hugarden-vishnya-ba-zhb,53.90,42.90,Россия"
"215208,""Напиток пивной Abbe Blonde светлое, 0.45л"",https://online.metro-cc.ru/products/045l-piv-nap-abbe-blond-sv-zhb,99.90,69.90,ABBE"
"201346,""Пиво Brainstorm Apa безалкогольное, 0.33л"",https://online.metro-cc.ru/products/033l-pivo-brainstorm-apa-ba-st,117,96.90,Россия"
"133363,""Пиво Tuborg безалкогольное, 0.45л"",https://online.metro-cc.ru/products/pivo-tuborg-bezalkogolnoe-045l,67.90,54.90,TUBORG"
"128110,""Напиток пивной Hoegaarden безалкогольный грейпфрут, 0.33л"",https://online.metro-cc.ru/products/napitok-hoegaarden-grejpfrut-033-l,53.90,42.90,Россия"
"215520,""Пиво Clausthaler Original безалкогольное, 0.33л"",https://online.metro-cc.ru/products/033l-pivo-clausthaler-oridzhinal-ba-st,149,,CLAUSTHALER"
"123745,""Пивной напиток Chester's Лесные ягоды, 0.45л"",https://online.metro-cc.ru/products/045-l-nap-chesters-lesnye-yagody-st,109,,CHESTER'S"
"138060,""Пиво Apostel Weissbier безалкогольное, 0.5л"",https://online.metro-cc.ru/products/pivo-apostel-weissbier-bezalkogolnoe-05l,129,,Германия"
"645841,""Пиво Arcobrau Mooser Liesl светлое, 0.5л"",https://online.metro-cc.ru/products/arcobrau-mooser-liesl-v-steklyannoj-butylke-05-l,239,,MOOSER LIESL"
"215140,""Пиво Corona Extra светлое, 0.355л"",https://online.metro-cc.ru/products/0355l-pivo-corona-extra-st-215140,159,,CORONA EXTRA"
"142676,""Пиво Kaiserdom Pilsener светлое 4.9%, 0.5л"",https://online.metro-cc.ru/products/pivo-kaiserdom-pilsener-svetloe-4-9-0-5l,159,,KAISERDOM"
"635447,""Пиво Жигули Барное безалкогольное, 0.45л"",https://online.metro-cc.ru/products/bezalkogolnoe-zhiguli-barnoe-v-zheleznoj-banke-045-l,72.90,,ЖИГУЛИ БАРНОЕ"
"88354,""Пивной напиток Amstel Natur Raspberry малина и лайм безалкогольное, 0.43л"",https://online.metro-cc.ru/products/pivo-amstel-bezalkogolnoe-malina-sok-lajma-043-l,69.90,44.90,AMSTEL"
"84506,""Пиво Gulden Draak темное, 0.33л"",https://online.metro-cc.ru/products/temnoe-v-stekle-gulden-draak-033-l,339,,GULDEN DRAAK"
"307242,""Пиво Cernovar темное, 0.5л"",https://online.metro-cc.ru/products/cernovar-temnoe-v-zhestyanoj-banke-05-l,179,153.90,CERNOVAR"
"584290,""Пиво Zlata Praha светлое фильтрованное, 0.5л"",https://online.metro-cc.ru/products/zlata-praha-v-zheleznoj-banke-05-l,154,,ZLATA PRAHA"
"624503,""Пиво Bowler IPA светлое, 0.5л"",https://online.metro-cc.ru/products/art-624503,149,126.90,BOWLER IPA"
"208750,""Пиво Dreamteam Brew Port Pilsner безалкогольное, 0.33л"",https://online.metro-cc.ru/products/033l-pivo-dreamteam-brew-s-port-pilsner-ba-st,149,,DREAMTEAM BREW"
"140441,""Пиво New Riga's Brewery Grant Wood Apa, 0.45л"",https://online.metro-cc.ru/products/045l-pivo-grant-vud-apa-zhb,139,109,GRANT WOOD"
"593745,""Пивной напиток Kriekenbier со вкусом вишни светлый, 0.25л"",https://online.metro-cc.ru/products/napitok-kriekenbier-v-steklyannoj-butylke-025-l,189,,KRIEKENBIER"
"418982,""Пиво Krombacher Pils светлое, 0.5л"",https://online.metro-cc.ru/products/krombacher-zh-b-05-l,199,,KROMBACHER"
"137413,""Пиво Tsingtao Стаут, 0.33л"",https://online.metro-cc.ru/products/033l-pivo-tsingtao-staut-st,169,,TSINGTAO"
